,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
1,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30.0,53,3,0,5,4,41.8,0.29,-7.2,-0.24,176,490,35.9,1002,130,33.8,32.8,253,59.7,44.4,468,17,3.6,22,0.73,14.6,Matches,65d62814
2,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,18,1,0,5,0,14.0,0.25,-4.0,-0.29,78,216,36.1,322,55,39.1,36.3,117,76.9,54.9,209,19,9.1,22,1.57,15.4,Matches,f71890f5
3,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,29,1,1,6,1,27.8,0.29,-0.2,-0.01,154,445,34.6,383,47,72.8,47.7,184,90.2,59.3,316,13,4.1,31,1.63,16.0,Matches,f76e6b4e
4,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,28,3,0,2,0,35.4,0.23,+7.4,+0.20,213,416,51.2,1069,239,28.9,32.1,252,42.5,41.0,469,17,3.6,90,2.43,18.9,Matches,7a2e46a8
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,29,1,0,4,1,23.3,0.31,-4.7,-0.29,110,285,38.6,494,48,40.5,36.3,129,65.9,50.6,214,8,3.7,18,1.10,14.1,Matches,8875b8c9
6,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,2,1,0,0,0,1.5,0.20,-0.5,-0.02,0,0,,0,0,,,0,,,1,0,0.0,0,0.00,,Matches,9260926b
7,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1.0,2,0,0,0,0,2.7,0.34,+0.7,+0.71,8,26,30.8,25,1,72.0,54.5,8,100.0,71.5,9,1,11.1,0,0.00,8.0,Matches,983ccabe
8,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,71,6,4,9,2,64.5,0.25,-4.5,-0.13,363,878,41.3,1038,247,53.4,41.1,399,81.2,55.0,728,49,6.7,32,0.89,12.7,Matches,326d09ef
9,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,8,2,0,1,0,9.0,0.19,+1.0,+0.12,76,147,51.7,291,24,36.4,35.1,70,58.6,41.4,127,9,7.1,15,1.77,14.8,Matches,011d8c56
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,25,1,2,5,1,26.2,0.24,+2.2,+0.07,52,102,51.0,659,167,9.7,22.8,240,15.8,29.3,404,22,5.4,50,1.47,16.1,Matches,2f965a72
11,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,43,1,3,5,3,43.4,0.30,+3.4,+0.11,318,644,49.4,843,112,56.5,42.2,206,81.6,58.1,395,23,5.8,22,0.73,13.4,Matches,28d596a0
12,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,30,3,1,2,0,32.0,0.29,+2.0,+0.09,124,346,35.8,454,118,43.8,37.4,200,73.5,52.8,399,26,6.5,26,1.13,12.8,Matches,9f0ea33f
13,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,1984,12.5,14,1,0,2,0,13.8,0.28,-0.2,-0.01,46,152,30.3,230,57,30.4,32.4,105,78.1,54.1,243,5,2.1,5,0.40,10.0,Matches,aad4f74f
14,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34.0,48,3,1,9,2,42.6,0.27,-3.4,-0.10,223,590,37.8,1181,179,36.2,33.4,261,62.5,47.9,480,37,7.7,28,0.82,12.5,Matches,47064058
15,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,61,2,2,7,1,54.8,0.31,-5.2,-0.14,223,647,34.5,832,215,45.7,38.9,328,81.4,55.5,611,35,5.7,18,0.47,10.2,Matches,7b4de647
16,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,27,3,1,1,2,28.9,0.36,+3.9,+0.32,54,171,31.6,264,70,42.0,37.4,108,55.6,43.4,209,13,6.2,9,0.73,11.4,Matches,4f8ce0e1
17,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,5,1,0,1,0,4.4,0.23,-0.6,-0.28,7,23,30.4,70,10,27.1,26.5,16,25.0,32.8,35,0,0.0,4,2.00,20.5,Matches,4f8ce0e1
18,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,0,0,0,0,0,1.9,0.31,+1.9,+0.75,12,28,42.9,42,12,40.5,32.3,23,47.8,41.7,37,1,2.7,1,0.40,16.2,Matches,b7e7937d
19,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,36,3,1,0,2,37.1,0.29,+3.1,+0.11,102,262,38.9,542,161,24.9,29.2,232,54.7,43.9,445,13,2.9,4,0.14,11.1,Matches,8a2248b4
20,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,34,1,2,2,0,33.3,0.32,-0.7,-0.02,183,412,44.4,609,169,36.5,34.5,233,81.5,54.0,396,18,4.5,25,0.81,14.1,Matches,ee833569
21,Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,23,1994,0.4,2,0,0,0,0,1.6,0.40,-0.4,-0.90,8,17,47.1,16,2,87.5,45.0,4,75.0,59.0,8,0,0.0,1,2.31,21.0,Matches,15285503
22,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32.0,52,2,1,9,4,44.5,0.29,-3.5,-0.11,253,576,43.9,791,141,45.5,38.0,300,72.0,48.8,525,25,4.8,30,0.94,13.1,Matches,32b9b5fa
23,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,21.6,31,3,0,4,0,26.2,0.28,-4.8,-0.22,137,415,33.0,660,76,45.6,38.8,151,75.5,55.2,325,6,1.8,20,0.93,13.8,Matches,967f34d3
24,Landry Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,3.0,6,0,0,1,0,4.8,0.28,-1.2,-0.39,17,42,40.5,45,12,51.1,38.9,28,67.9,46.5,53,1,1.9,0,0.00,8.8,Matches,e65dd8dc
25,Jean-Christophe Bouet,fr FRA,GK,Amiens,fr Ligue 1,34,1983,1.0,1,0,0,0,0,1.3,0.19,+0.3,+0.30,7,21,33.3,17,4,52.9,40.4,13,92.3,55.4,19,0,0.0,0,0.00,5.0,Matches,96908f80
26,Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,1991,29.5,46,4,2,2,1,44.5,0.30,-0.5,-0.02,226,635,35.6,633,86,65.9,46.0,243,89.7,60.8,411,9,2.2,29,0.98,14.4,Matches,f6798fc3
27,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,34,1983,2.5,1,0,0,0,0,1.6,0.31,+0.6,+0.22,4,9,44.4,61,16,6.6,25.3,10,50.0,39.5,21,2,9.5,3,1.19,15.4,Matches,10072610
28,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,1991,12.5,31,2,0,6,0,26.0,0.35,-5.0,-0.40,87,263,33.1,384,63,47.7,39.4,116,69.0,51.1,204,20,9.8,27,2.16,16.3,Matches,6989550f
29,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,1978,20.7,14,3,0,2,2,17.5,0.25,+5.5,+0.26,84,191,44.0,474,97,28.1,31.9,150,38.7,36.8,242,3,1.2,19,0.92,14.0,Matches,e40d028b
