,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_18_19,Distribution_Score_18_19,Ball_Quality_Score_18_19,Positioning_Score_18_19,Sweeper_Score_18_19
1,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,25,2250.0,43,1.72,58.6,5,20.0,2,2,0,0,1995,0,0,2,5,33.8,0.32,-9.2,-0.37,388,42.8,213,70.9,51.4,655,36.2,33.7,1.8,18.6,326,4.0,45,0.2546218487394958,56.699819168173605,73.3141153081511,58.766578249336874,43.04621443767894,86.67114544843803
2,Alisson,br BRA,GK,Liverpool,eng Premier League,25,38,3420.0,22,0.58,77.1,21,55.3,1,0,0,1,1992,1,0,0,5,27.2,0.29,5.2,0.14,311,41.5,216,44.0,41.3,1072,20.1,28.8,1.55,16.6,385,4.2,100,0.5545454545454545,95.0,53.11928429423459,80.88859416445624,64.2892222314577,77.31189116560296
3,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,13,1170.0,17,1.31,77.8,1,7.7,1,1,0,0,1991,1,0,0,2,17.0,0.23,1.0,0.08,283,46.6,125,81.6,53.9,333,54.4,41.0,1.38,13.1,230,9.1,45,0.34895104895104895,43.35443037974684,82.24850894632206,41.684350132625994,60.74790742257062,64.77452133019818
4,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,13,1170.0,22,1.69,65.5,2,15.4,2,2,0,0,1986,1,0,1,2,19.1,0.3,-1.9,-0.15,237,38.4,128,71.9,52.1,330,43.9,36.5,0.54,12.9,230,3.5,80,0.1319327731092437,51.708860759493675,71.19085487077535,41.52519893899204,49.17724966442714,52.13511924756466
5,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,11,990.0,11,1.0,66.7,2,18.2,0,0,0,0,1984,1,0,0,1,10.2,0.31,-0.8,-0.08,126,50.0,77,59.7,43.2,284,28.2,31.5,1.91,17.8,160,3.1,80,0.11344537815126052,54.74683544303798,66.63419483101393,39.08488063660477,51.96040859420181,85.9430634867316
6,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,21,1890.0,17,0.81,80.3,11,52.4,4,4,0,0,1993,1,0,0,1,18.3,0.22,2.3,0.11,94,42.6,139,24.5,32.0,377,15.9,25.3,0.62,13.7,255,2.7,45,0.41258741258741255,91.85352622061484,38.05367793240556,44.0185676392573,61.74417411941972,55.591619079610346
7,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,36,3240.0,39,1.08,68.6,14,38.9,2,1,1,0,1994,2,0,0,6,36.5,0.29,-2.5,-0.07,230,49.6,256,34.4,36.5,903,15.7,25.9,0.97,18.1,369,3.8,100,0.14201680672268907,77.20614828209766,50.900596421471164,71.92307692307693,59.204325396895555,73.30995969096406
8,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,32,2880.0,45,1.41,73.5,9,28.1,4,2,1,1,1989,0,0,2,4,47.3,0.28,5.3,0.17,439,41.5,254,69.3,51.5,566,46.5,39.2,0.81,11.8,580,3.4,80,0.5594405594405594,65.48824593128391,71.90656063618292,54.04509283819629,72.64358008032525,52.839267719180384
9,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,36,3240.0,51,1.42,70.1,11,30.6,8,7,1,0,1997,4,0,2,6,49.5,0.3,-0.5,-0.01,370,33.2,297,49.5,39.1,860,25.9,28.7,1.33,15.0,587,4.3,60,0.10840336134453782,68.20072332730561,47.04771371769384,69.64190981432361,67.8729810363763,69.53728585824656
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,33,2970.0,51,1.55,72.9,5,15.2,6,6,0,0,1990,0,0,1,4,47.5,0.26,-2.5,-0.08,397,41.3,248,39.9,39.4,1036,28.8,29.3,1.76,18.0,441,3.2,50,0.14201680672268907,51.491862567811935,49.69582504970179,78.9787798408488,65.16303799975594,84.36597245549211
