,Age,height_cm,weight_kg,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,overall,mental_score
0,27,191,91,86,88,85,91,89,51.0,90,38.8
1,27,195,94,85,79,80,78,84,55.0,82,36.6
2,23,192,83,80,73,73,74,80,52.0,77,28.2
3,30,187,82,81,80,79,79,82,49.0,82,31.4
4,27,191,93,80,79,77,80,83,48.0,81,35.8
5,23,190,78,78,74,73,77,84,29.0,78,27.8
6,29,192,78,75,76,74,75,76,35.0,76,35.2
7,37,184,80,77,76,84,75,77,56.0,77,42.4
8,29,187,85,85,82,72,82,88,47.0,84,34.6
9,28,197,86,83,80,80,83,84,45.0,83,30.0
10,33,189,82,81,82,72,80,83,40.0,81,30.2
11,37,188,83,68,71,62,72,74,26.0,72,29.8
12,33,187,88,78,77,77,78,80,49.0,79,31.0
13,28,199,96,84,89,74,85,88,48.0,89,34.6
14,26,184,78,84,78,69,76,88,39.0,81,36.0
15,29,190,78,75,70,64,71,76,55.0,73,27.8
16,28,194,94,78,80,79,81,82,37.0,81,28.4
17,21,196,90,89,81,76,83,89,50.0,85,37.2
18,22,188,74,76,72,70,74,78,44.0,75,36.4
19,31,188,81,66,68,65,65,69,50.0,67,23.6
20,31,190,80,79,80,81,82,86,46.0,83,34.8
21,26,188,86,86,82,93,86,88,63.0,88,43.0
22,35,190,83,80,82,70,81,82,48.0,81,39.0
23,31,197,98,79,78,44,77,78,43.0,77,34.2
24,32,190,81,78,73,64,74,80,28.0,77,26.4
25,25,194,94,81,75,69,79,81,47.0,79,29.0
26,26,196,80,77,77,70,75,75,42.0,76,34.6
27,30,191,86,84,85,82,84,86,43.0,85,31.2
28,23,190,85,80,80,70,77,83,49.0,80,26.8
29,32,194,89,79,77,63,79,80,44.0,78,24.8
30,27,192,90,78,78,60,73,79,48.0,77,29.4
31,30,192,82,85,78,69,83,87,41.0,83,32.2
32,27,193,85,79,74,70,73,77,41.0,75,31.4
33,37,185,74,67,65,64,65,72,42.0,68,24.8
34,22,194,88,75,71,75,73,78,26.0,75,32.6
35,21,193,82,79,76,70,75,82,46.0,78,29.2
36,23,181,70,79,78,72,74,78,52.0,77,27.2
37,34,180,75,72,69,69,74,75,45.0,73,31.6
38,29,187,78,80,78,77,80,81,42.0,80,31.4
39,27,186,83,75,71,64,73,75,45.0,74,27.0
40,28,190,82,85,83,80,84,86,56.0,85,36.0
41,33,188,82,89,82,68,84,90,63.0,87,35.2
42,29,184,81,85,80,74,80,86,64.0,83,36.2
43,33,195,85,74,69,61,75,77,39.0,74,25.4
44,25,191,91,80,80,82,82,83,46.0,82,30.2
45,35,185,82,81,81,78,81,84,48.0,83,35.6
46,27,195,90,78,80,78,77,77,58.0,78,41.6
47,30,193,79,77,75,64,75,81,57.0,77,40.6
48,23,190,83,79,74,70,77,82,45.0,78,30.2
49,20,196,74,70,67,70,67,73,28.0,69,31.8
50,37,193,79,79,78,65,79,77,43.0,78,35.2
51,24,191,82,72,70,69,69,76,41.0,72,27.6
52,34,185,88,72,70,65,68,71,52.0,70,28.4
53,22,192,85,75,73,71,73,80,43.0,76,27.0
54,26,191,93,82,77,74,80,84,44.0,80,37.2
55,26,188,82,78,67,68,69,78,48.0,73,28.0
56,33,185,80,90,81,75,82,90,53.0,87,41.6
57,34,193,92,87,87,91,86,89,57.0,89,45.6
58,27,188,87,87,92,78,90,90,52.0,91,37.8
59,26,189,80,77,75,73,75,79,50.0,77,33.6
60,27,185,88,72,70,80,75,78,52.0,75,35.8
61,31,183,80,82,72,77,77,84,34.0,79,33.8
62,32,184,80,76,71,65,76,81,46.0,76,29.6
63,28,196,81,84,76,68,76,87,36.0,82,23.6
64,27,188,77,82,82,71,79,87,56.0,82,33.4
65,26,185,77,81,77,87,77,85,48.0,81,47.4
66,28,200,76,79,81,75,83,84,48.0,82,35.2
67,21,186,80,63,64,62,60,66,29.0,64,24.8
68,24,191,85,78,77,74,79,81,23.0,79,24.6
69,22,188,77,76,73,69,73,77,49.0,75,34.6
70,29,185,90,74,72,74,75,77,45.0,75,32.8
71,34,192,96,78,67,73,73,79,47.0,75,34.2
72,28,184,82,81,75,82,78,82,52.0,80,40.6
73,27,190,80,77,72,67,76,78,46.0,76,25.4
74,36,189,76,76,64,68,72,75,31.0,72,38.2
75,33,189,89,82,77,83,79,89,54.0,84,40.0
76,28,190,84,78,76,71,78,81,37.0,79,24.8
77,29,185,75,79,75,71,75,80,47.0,77,29.0
78,29,191,80,79,75,65,77,79,60.0,77,32.0
79,33,192,80,84,80,76,84,82,51.0,84,36.0
80,29,187,84,80,75,54,75,81,51.0,76,31.6
81,31,183,79,80,86,85,87,85,51.0,86,39.6
82,28,192,87,76,74,68,76,78,43.0,76,33.0
83,30,195,90,86,82,73,87,88,49.0,87,37.0
84,28,187,85,88,85,88,88,90,45.0,90,43.8
85,30,189,88,82,78,79,83,85,49.0,83,33.4
86,25,194,96,74,72,64,74,79,65.0,75,25.4
