,Player,Nation,Pos,Squad,Comp,Age,Playing Time_MP,Playing Time_Min,Performance_GA,Performance_GA90,Performance_Save%,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Born,Performance_CrdY,Performance_CrdR,Goals_FK,Goals_CK,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Att,Launched_Cmp%,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Passes_Att,Passes_Launch%,Passes_AvgLen,Sweeper_#OPA/90,Sweeper_AvgDist,Crosses_Opp,Crosses_Stp%,Comp_Score,psxg_score,saving_ability_score_20_21,Distribution_Score_20_21,Ball_Quality_Score_20_21,Positioning_Score_20_21,Sweeper_Score_20_21,short_version,short_name,long_name,player_positions,overall,club_name,age,dob,height_cm,weight_kg,league_name,club_position,nationality_name,pace,shooting,passing,skill_long_passing,skill_ball_control,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,birth_year
0,Alisson,br BRA,GK,Liverpool,eng Premier League,27,33,2970,32.0,0.97,75.7,10.0,30.3,8.0,4.0,1.0,3.0,1992,1,0,1.0,4.0,35.0,0.27,3.0,0.09,194,38.1,173,27.7,30.4,980,14.9,25.7,2.64,18.6,341,5.9,100,0.4891891891891892,64.81891348088533,46.40824196328612,65.65395095367847,54.11808025262749,78.69089834515367,Alisson,Alisson,Alisson Ramsés Becker,GK,90,Liverpool,27,1992-10-02,191,91,eng Premier League,GK,Brazil,,,,44,30,64,52,32,78,14,27,13,66,23,65,86,88,85,91,89,51.0,1992
1,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,36,3240,48.0,1.33,73.9,9.0,25.0,6.0,6.0,0.0,0.0,1993,2,0,0.0,2.0,50.5,0.28,3.5,0.1,389,37.0,251,55.8,39.8,760,32.8,30.0,0.86,13.0,501,5.2,100,0.5207207207207207,58.420523138833005,61.61390009418371,56.66212534059946,83.09743420639168,47.9225768321513,A. Areola,A. Areola,Alphonse Areola,GK,82,Fulham,27,1993-02-27,195,94,eng Premier League,SUB,France,,,,37,22,60,72,38,80,14,26,17,51,25,64,85,79,80,78,84,55.0,1993
2,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,37,3330,54.0,1.46,72.8,6.0,16.2,9.0,7.0,2.0,0.0,1997,0,0,1.0,6.0,51.9,0.25,-1.1,-0.03,543,39.2,259,64.1,45.3,986,38.2,35.0,0.92,14.8,563,2.1,60,0.11301775147928995,47.79678068410463,69.70310806248114,65.89918256130791,69.77246923986081,52.36406619385343,E. Audero,E. Audero,Emil Audero Mulyadi,GK,77,U.C. Sampdoria,23,1997-01-18,192,83,it Serie A,GK,Italy,,,,19,18,55,65,25,55,19,24,9,30,22,56,80,73,73,74,80,52.0,1997
3,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,31,2790,51.0,1.65,65.9,6.0,19.4,9.0,6.0,2.0,1.0,1990,1,0,0.0,4.0,49.4,0.32,0.4,0.01,407,32.9,204,35.8,32.0,1143,29.2,29.9,1.71,18.3,417,3.4,50,0.32522522522522523,51.65995975855131,46.7886019938514,72.31607629427793,69.04989338169109,68.16341607565012,O. Baumann,O. Baumann,Oliver Baumann,GK,82,TSG Hoffenheim,30,1990-06-02,187,82,de Bundesliga,GK,Germany,,,,25,17,59,73,39,69,13,32,10,41,22,52,81,80,79,79,82,49.0,1990
4,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,27,38,3420,53.0,1.39,73.9,9.0,23.7,7.0,7.0,0.0,0.0,1993,3,0,1.0,11.0,50.8,0.25,-2.2,-0.06,286,31.8,300,30.7,32.4,919,21.1,27.2,0.53,13.1,572,4.2,45,0.1260355029585799,56.851106639839045,44.670428091624764,63.16076294277929,60.048797297085486,44.623226950354606,W. Benítez,W. Benítez,Walter Daniel Benítez,GK,81,OGC Nice,27,1993-01-19,191,93,fr Ligue 1,GK,Argentina,,,,27,14,58,62,42,80,14,28,18,46,25,62,80,79,77,80,83,48.0,1993
5,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,38,3420,58.0,1.53,63.3,9.0,23.7,8.0,7.0,1.0,0.0,1997,1,0,0.0,5.0,53.5,0.33,-3.5,-0.09,456,31.4,269,70.3,50.9,712,37.5,35.2,0.45,11.3,516,3.7,45,0.1414201183431953,56.851106639839045,70.59006983811065,54.700272479564035,76.80537901656118,39.968971631205676,P. Bernardoni,P. Bernardoni,Paul Jean François Bernardoni,GK,78,Angers SCO,23,1997-04-18,190,78,fr Ligue 1,GK,France,,,,24,25,55,70,36,68,16,29,15,21,19,55,78,74,73,77,84,29.0,1997
6,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,29,33,2970,28.0,0.85,77.4,15.0,45.5,6.0,4.0,2.0,0.0,1991,3,0,0.0,4.0,27.8,0.21,1.8,0.05,381,43.6,200,54.0,40.7,895,30.5,32.0,1.03,15.0,450,5.8,80,0.4135135135135135,83.16901408450707,66.00549108808843,62.17983651226158,73.60069423256805,53.95685579196217,Y. Bounou,Y. Bounou,Yassine Bounou,GK,76,Sevilla FC,29,1991-04-05,192,78,es La Liga,SUB,Morocco,,,,44,12,56,48,43,69,19,25,10,60,24,57,75,76,74,75,76,35.0,1991
7,Claudio Bravo,cl CHI,GK,Betis,es La Liga,37,20,1800,25.0,1.25,72.0,7.0,35.0,5.0,4.0,1.0,0.0,1983,3,0,0.0,0.0,24.0,0.26,0.0,0.0,328,35.7,129,64.3,48.5,518,47.3,38.1,0.8,13.0,287,3.8,80,0.0,70.49295774647888,69.73978639845042,46.771117166212534,65.56736644331576,47.28427895981088,C. Bravo,C. Bravo,Claudio Andrés Bravo Muñoz,GK,77,Real Betis Balompié,37,1983-04-13,184,80,es La Liga,GK,Chile,,,,54,32,63,81,39,69,17,40,16,69,23,64,77,76,84,75,77,56.0,1983
8,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,29,19,1665,30.0,1.62,71.7,4.0,22.2,4.0,4.0,0.0,0.0,1990,0,0,0.0,6.0,28.4,0.27,-1.6,-0.09,166,37.3,110,34.5,34.9,519,24.7,29.5,0.7,16.3,187,2.1,50,0.11893491124260355,55.04024144869216,51.318305404012584,46.81198910081744,40.5968061223698,53.192966903073284,R. Bürki,R. Bürki,Roman Bürki,GK,84,Borussia Dortmund,29,1990-11-14,187,85,de Bundesliga,GK,Switzerland,,,,24,23,54,74,36,75,14,35,10,50,20,58,85,82,72,82,88,47.0,1990
9,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,32,2880,33.0,1.03,72.2,14.0,43.8,5.0,3.0,2.0,0.0,1992,0,0,1.0,2.0,32.7,0.26,0.7,0.02,462,41.3,203,63.1,48.4,1048,31.9,32.6,1.78,17.3,450,5.6,50,0.3441441441441441,81.11670020120725,72.95980310273134,68.43324250681198,69.59447532577053,66.79521276595744,K. Casteels,K. Casteels,Koen Casteels,GK,83,VfL Wolfsburg,28,1992-06-25,197,86,de Bundesliga,GK,Belgium,,,,37,23,60,58,44,72,18,33,15,42,20,40,83,80,80,83,84,45.0,1992
10,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33,37,3330,56.0,1.51,71.9,7.0,18.9,5.0,4.0,1.0,0.0,1987,1,0,0.0,4.0,53.6,0.27,-1.4,-0.04,319,37.0,240,21.7,24.1,1114,24.0,27.7,0.92,15.1,513,5.1,60,0.11656804733727812,51.056338028169016,39.23137206120165,71.1307901907357,79.56729309710171,52.99793144208037,A. Consigli,A. Consigli,Andrea Consigli,GK,81,U.S. Sassuolo Calcio,33,1987-01-27,189,82,it Serie A,GK,Italy,,,,27,23,54,80,31,51,19,11,10,46,21,63,81,82,72,80,83,40.0,1987
11,Alex Cordaz,it ITA,GK,Crotone,it Serie A,37,36,3240,91.0,2.53,58.5,2.0,5.6,5.0,5.0,0.0,0.0,1983,1,0,2.0,9.0,72.1,0.33,-16.9,-0.47,502,38.8,306,39.9,33.2,1134,33.5,31.8,1.0,15.1,555,3.2,60,0.30000000000000004,35.0,52.874433564942336,71.94822888283379,53.92304932167687,53.84899527186761,A. Cordaz,A. Cordaz,Alex Cordaz,GK,72,Crotone,37,1983-01-01,188,83,it Serie A,GK,Italy,,,,17,20,47,32,16,54,15,22,8,34,16,69,68,71,62,72,74,26.0,1983
12,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,38,3420,56.0,1.47,68.6,14.0,36.8,8.0,7.0,1.0,0.0,1987,0,0,2.0,6.0,48.2,0.26,-6.8,-0.18,610,43.3,292,67.1,47.6,1034,40.0,35.3,0.79,13.2,560,2.9,45,0.1804733727810651,72.66599597585514,75.02402573170082,67.86103542234332,61.29636161692186,47.60047281323877,B. Costil,B. Costil,Benoît Costil,GK,79,FC Girondins de Bordeaux,32,1987-07-03,187,88,fr Ligue 1,GK,France,,,,33,12,58,49,28,65,15,22,12,48,15,58,78,77,77,78,80,49.0,1987
